용천수 명칭,위치,경도,위도,요약,세부내용
큰도물(모살개물),조천읍 함덕리(해안변) (남탕),126°39′49″,33°32′36″,모살개(작은 포구) 근처에서 솟아나는 용천수,"‘큰도물’이라고도 하지만 ‘모살개물’, ‘모살물’ 이라고도 한다. 함덕 1, 2구 주민들이 주로 썰물 때 식수와 생활용수로 이용했던 해안용천수로, 1구 쪽에 있는 물은 남자만 다녔던 물통이고, 2구 쪽의 물통은 여자만 다녔던 물통이다. 목욕을 못할 정도로 차가워서 여름철에는 더위를 잊는 장소이기도 했다. 도로에서 가까운 곳은 ‘남탕’이고, 조금 멀리 떨어진 곳은 ‘여탕’이다. 여자용 물통의 입구와 남자용 물통의 입구의 방향이 같지 않고 각각 다르게 위치하고 있는데 여자용 입구는 도로 쪽이고, 남자용은 바다 쪽을 향하고 있다. 원래 세 군데 용천수였던 ‘큰도물’은 뱃사람이나 인근 지역 주민들이 이용했는데, 현재는 남자용과 여자용 두 군데로 복원되었고, 나머지 한곳은 해안도로 개설로 매립되었다. 예전에는 담장 높이도 높지 않았고 자연석을 그대로 쌓아 구멍이 숭숭 뚫려 있었지만 개보수할 때 담장을 견고하고 높이 쌓아서 옛 모습과는 차이가 난다."
큰도물(모살개물),조천읍 함덕리(해안변) (여탕),126°39′50″,33°32′36″,모살개(작은 포구) 근처에서 솟아나는 용천수,"‘큰도물’이라고도 하지만 ‘모살개물’, ‘모살물’ 이라고도 한다. 함덕 1, 2구 주민들이 주로 썰물 때 식수와 생활용수로 이용했던 해안용천수로, 1구 쪽에 있는 물은 남자만 다녔던 물통이고, 2구 쪽의 물통은 여자만 다녔던 물통이다. 목욕을 못할 정도로 차가워서 여름철에는 더위를 잊는 장소이기도 했다. 도로에서 가까운 곳은 ‘남탕’이고, 조금 멀리 떨어진 곳은 ‘여탕’이다. 여자용 물통의 입구와 남자용 물통의 입구의 방향이 같지 않고 각각 다르게 위치하고 있는데 여자용 입구는 도로 쪽이고, 남자용은 바다 쪽을 향하고 있다. 원래 세 군데 용천수였던 ‘큰도물’은 뱃사람이나 인근 지역 주민들이 이용했는데, 현재는 남자용과 여자용 두 군데로 복원되었고, 나머지 한곳은 해안도로 개설로 매립되었다. 예전에는 담장 높이도 높지 않았고 자연석을 그대로 쌓아 구멍이 숭숭 뚫려 있었지만 개보수할 때 담장을 견고하고 높이 쌓아서 옛 모습과는 차이가 난다."
앞갯물,조천읍 함덕리 3130-4번지,126°39′39.09″,33°32′43.45″,,"마을 포구에서 사용했던 물로 주로 1구 알동네 주민들의 식수와 생활용수로 이용해왔던 용천수이다. 1구 해안가 주변에는 물통이 세 군데 있었는데 지금은 ‘앞갯물’ 한 군데만 남아 있고 모두 매립되었다. 특이하게도 남아있는 앞갯물은 식수로만 이용했다고 하고, 매립된 두 곳인 남탕과 여탕은 오로지 몸을 씻거나 빨래하는 곳으로만 이용되었다. 유학자 임도빈 선생이 앞갯물 명칭을 ‘용수정’으로 명명했다고 하며(함덕향토지, 함덕리, 2017), ‘알개물’이라 부르기도 한다. 서북쪽 입구에는 ‘앞갯물’이라는 물통 이름을, 서쪽 벽에는 ‘湧水井’이라는 한자이름을 표석에 새겼다. 자세히 보면 ‘湧水井’외에 ‘西紀 一九八六年四月改修’라고 붙여있어서 개보수를 한 시기가 1986년이었다고 볼 수 있다. 물통 가운데는 징검다리 돌기둥 세 개를 놓고 건너가게 만든 것이 특이하다. 총 네 칸으로 물길을 나눴는데 서쪽으로 네모난 식수통을 만들고 나머지 세 칸을 만들어 물이 바다로 흘러가게 했다. 물통담장은 아래로는 네모난 판석을 돌아가며 붙였고, 그 위로 나무난간으로 둘러 담장의 키를 높였다. 천정은 중간에는 하늘을 보이도록 개방해서 안에 들어가면 노천목욕탕 같다.  ‘앞갯물’ 주위로는 땅을 파면 온통 물이 솟아나는 물밭 지대라고 한다. 현재는 ‘앞갯물’ 한군데만 개보수를 하여 남겨뒀지만 예전에는 앞갯물 뒤로도 물통 2곳이 있었고, 또 그 동편에도 물통 한 곳이 있어서 원래 이 일대가 물이 많이 나는 지대였음을 알수 있다. 멸실된 물통도 제법 컸다고 하는데 주택이 들어서고 해안도로, 공원을 만들면서 두 곳은 멸실되어 버렸다."
거신물(거싯물),조천읍 함덕리 3284번지 앞,126°39′33.36″,33°39′49.45″,한라산 쪽으로 거슬러 흐르다 바다로 흐르는 물,"조천-함덕 해안로에 위치한 해녀 탈의장 건너편 해안 바위 밑에서 용출하는 용천수이다. 용천수는 통상적으로 높은 쪽에서 낮은 바다 쪽으로 흐르는데 이 물은 한라산 쪽으로 거슬러 흐르다가 바다로 흐른다고 해서 그렇게 불렀다고 한다. 원래 거신(싯)물 지경을 ‘물깍’또는 ‘서물깍’이라고 한다. ‘거신물’은 물깍에 물이 역류해서 이름이 붙여졌다고도 한다(함덕향토지, 함덕리, 2017). 하지만 주민과 해녀들에게 거신물의 명칭유래를 들어보면 설명이 다르다. 물이 솟는 모습에서 찾고 있는데 땅속에서 하늘 위로 솟구치는 것처럼 힘차게 샘솟는 모양이라서 그렇게 불렀다고 한다. 해안도로가 나기 전에는 해안가 돌들이 많이 깔려있어서 여자들이 물허벅을 지고 물을 길러 오고가는 것이 어려워 주로 목욕하는 곳으로 이용하였다. 현대식 탈의장이 없을 때 해녀들이 잠수작업이 끝나면 몸을 헹구는 곳으로도 많이 애용되었다. 옛날에는 ‘거신물’은 원래 두 군데에서 솟는 용천수였다. 위쪽 물은 아주 잘 관리되어 둥그렇게 자연석으로 담을 쌓아서 목욕탕처럼 꾸며 이용하던 곳이었는데 아쉽게도 해안도로를 내면서 메워져버렸다. 현재 ‘거신물’로 알고 있는 곳은 다른 한군데였던 아래쪽 물로, 지금도 물은 잘 나오고 있다. 하지만 이 물은 썰물때에만 볼 수 있기 때문에 이 물통이 ‘거신물’이라는 것을 아는 사람은 해녀들과 나이든 몇몇 마을주민들 뿐이다."
웃통물 위,조천읍 함덕리 산 4번지,126°40′33.91″,33°32′39.89″,서우봉 기슭에서 경사지게 내려오는 세 군데의 물통,"4구 지역에서 왜막(일본사람들이 이곳에서 막사를 지어서 살면서 기와를 구웠다고 함) 주민 5~6가구가 있었는데 그들만 이용한 물이다. 평사동 마을이 형성되기 전 왜막 마을 주민들이 경사지의 지형을 살려 물을 이용했다는 것으로 볼 때 주민들의 지혜로움을 느낄 수 있다. 가장 윗물은 식수로 쓰고, 다음 내려온 물은 목욕을 하고, 가장 아랫물은 소나 말이 먹는 물이었다. 가파른 서우봉 경사지까지 허벅을 지고 올라왔다니 당시 물이 귀했음을 알 수 있다. 서우봉 서쪽(지금은 캠핑카를 하는 곳)을 지나 올라가면 물통자리가 나온다. 제일 위쪽 식수용 물은 형체가 안남아 있고, 두 번째와 세 번째 물통은 벽이 시멘트로 되어있다. 하지만 방치되어 초록색 수생식물이 물위를 덮고 있어서 자세히 보아야 알 수 있다."
웃통물 중간,조천읍 함덕리 산 4번지,126°40′32.31″,33°32′39.03″,서우봉 기슭에서 경사지게 내려오는 세 군데의 물통,"4구 지역에서 왜막(일본사람들이 이곳에서 막사를 지어서 살면서 기와를 구웠다고 함) 주민 5~6가구가 있었는데 그들만 이용한 물이다. 평사동 마을이 형성되기 전 왜막 마을 주민들이 경사지의 지형을 살려 물을 이용했다는 것으로 볼 때 주민들의 지혜로움을 느낄 수 있다. 가장 윗물은 식수로 쓰고, 다음 내려온 물은 목욕을 하고, 가장 아랫물은 소나 말이 먹는 물이었다. 가파른 서우봉 경사지까지 허벅을 지고 올라왔다니 당시 물이 귀했음을 알 수 있다. 서우봉 서쪽(지금은 캠핑카를 하는 곳)을 지나 올라가면 물통자리가 나온다. 제일 위쪽 식수용 물은 형체가 안남아 있고, 두 번째와 세 번째 물통은 벽이 시멘트로 되어있다. 하지만 방치되어 초록색 수생식물이 물위를 덮고 있어서 자세히 보아야 알 수 있다."
웃통물 아래,조천읍 함덕리 산 4번지,126°40′31.98″,33°32′38.95″,서우봉 기슭에서 경사지게 내려오는 세 군데의 물통,"4구 지역에서 왜막(일본사람들이 이곳에서 막사를 지어서 살면서 기와를 구웠다고 함) 주민 5~6가구가 있었는데 그들만 이용한 물이다. 평사동 마을이 형성되기 전 왜막 마을 주민들이 경사지의 지형을 살려 물을 이용했다는 것으로 볼 때 주민들의 지혜로움을 느낄 수 있다. 가장 윗물은 식수로 쓰고, 다음 내려온 물은 목욕을 하고, 가장 아랫물은 소나 말이 먹는 물이었다. 가파른 서우봉 경사지까지 허벅을 지고 올라왔다니 당시 물이 귀했음을 알 수 있다. 서우봉 서쪽(지금은 캠핑카를 하는 곳)을 지나 올라가면 물통자리가 나온다. 제일 위쪽 식수용 물은 형체가 안남아 있고, 두 번째와 세 번째 물통은 벽이 시멘트로 되어있다. 하지만 방치되어 초록색 수생식물이 물위를 덮고 있어서 자세히 보아야 알 수 있다."
흐린내,조천읍 함덕리 1410번지 (현 저류지),126°40′0.2″,33°32′20.14″,,"조천읍도서관 서북쪽 미성빌라 옆에 있는 ‘흐린내’는 솟아나는 용천수이다. 예전에는 3구 주민들이 생활용수로 이용했고, 밭농사를 지을 때 물을 대주었던 용천수였지만 지금은 못으로 조성하여 저류지 역할을 하고 있다. 이 ‘흐린내’ 주위는 물이 많이 고이는 지대라 비가 많이 내릴 때는 상습적으로 침수되는 지역이었는데 저류지 시설을 만든 후로부터는 그런 위험이 없어 주민들은 만족하고 있다. 예전에는 주민들이 오리를 키우기도 했다. 3구 주민들은 주로 미나리 밭이 있던 곳으로 기억하는데, 현재도 가끔 농업용수로 사용하고 있다."
소래물,조천읍 함덕리 1334-3번지,126°39′58″,33°32′26.17″,절에서 내려오면서 보호된 물,"소래물은 사래물(寺?水)이라고도 불린다. ‘사래물’의 ‘사’는 ‘절 寺’자인데 그래서인지 이 일대는 절이 두 군데나 있다. 고려시대 때는 강림사(江臨寺)라는 절이 있었고, 지금은 본원사와 덕림사라는 절이 주변에 있어 이 지역을 사동(寺洞), 즉 ‘절골 동네’로 불리기도 한다. 3구 주민들이 식수로 이용했던 물통이며, 가뭄이 심하여도 마르지 않아서 인근 마을 주민들까지 이용했다고 전해지고 있다. 과거 사진을 보면 칸이 정확하게 나눠져 있는데, 처음 나온 물은 식수로 그 다음 흐르는 물은 채소를 씻는 물로 그 다음은 빨래를 하거나 목욕하는 물로 썼다고 한다. 용출되는 물이 흘러가는 주위에 ㄱ, ㄴ형태로 물팡이 꾀나 길게 만들어져 있어 이곳을 이용하는 주민이 많았음을 알 수 있고, 그것은 곧 수량이 풍부했음을 보여준다. 수도가 보급되면서 방치되고 있다가 2012년 개보수 되었다. 보수는 되었지만 지형이 변하고 개발되면서 수량은 예전만 못하다. 개보수하면서 나무지붕까지 올려서 옛 모습과는 사뭇 다르다. 현재는 개보수된 소래물 앞으로 저류지를 만들어 풍수해 피해에 대비하고 있다. 저류지를 만듦으로써 주민들에게는 안전할 수 있어서 다행이지만 물통을 개보수하고 저류지를 조성하면서 옛 정취는 사라지고 말았다. 특히 물통 옆에 마을 공동쓰레기통이 있어서 위생상으로도 안 좋고 보기에도 물의 이미지와는 어울리지 않는다."
남문기물(송앳물),조천읍 함덕리 1530번지,126°39′43.38″,33°32′14.95″,남문이 있었던 남문기의 마르지 않는 샘물,"주변에 남문이 있었던 곳이기에 ‘남문기물’이라고 했고, ‘송앳물’이라고도 부른다. ‘남문기’지역의 주민들이 주로 이 물통에 와서 물을 길어 갔는데, 물이 많이 용출되지는 않았지만 아무리 가물어도 마르는 일은 없었다고 한다. ‘죽대낭빌레’ 웃동네 주민들도 식수로 이용했던 용천수로 삼별초군 주둔 당시 하수영(下戍營)의 주둔부대와 사장(射場)에서 훈련하는 병사들이 이용했다고 전해진다. 이 물통은 오로지 식수용으로 남자들은 얼씬하지 않던 물통이었고, 아주 깨끗하게 관리하였다. 지금도 물통 주위로는 인가가 없고 밭으로 둘러싸여 있다. 깊숙하고 오목하여 물이 흐르지 못하는 구조로 되어있어서 물통 안에서는 손도 못 씻게 했다고 한다. 당연히 빨래는 절대 불가능했고, 면적도 좁았다. 오직 허벅으로 물을 길어다 먹는 식음수로만 이용했고, 밭일을 하러 나갈 때 물병에 먹을 물을 떠갔던 곳이다. 어쩌다 채소를 씻어야 할 때면 물을 떠다 물통 밖으로 나가 씻었다. 지금은 옛 모습 그대로 남아 있지만 관리가 되지 않아 오염되었고, 쓰레기까지 있어 미관상 좋지 않다. 삼각형에 가까운 둥근형태의 물통인데 가파르게 대여섯 계단을 내려가야 고인 물이 있어 멀리서는 잘 보이지 않는다. 타원형 담을 쌓았는데 아래는 시멘트담으로 올린 후 다시 그 위로 높게 다시 돌을 올려 쌓았다. 동편 담은 겹담으로 되어 있고, 서편 담은 홑담이다."
사우(원)니물,조천읍 북촌리 1281-6,126°41′37.42″,33°32′59.86″,마을의 안녕과 건강을 기원하는 신성한 물,"2동, 3동, 상동 사람들이 이용했던 용천수로 바닷물이 들면 ‘사우니물’을 먹고, 바닷물이 나가면 바로 옆 ‘도아치물’을 먹었다. ‘사우니물’은 여성전용 물통으로 4.3사건 이후 일부 개조되었으며, 목욕을 금기하였다 한다. 예전 기록을 보면 일제강점기 때 이 식수통에서 목욕을 했다가 구장에게 크게 혼난 일이 있어 그 후로는 어느 누구도 이 식수통에서 목욕을 하는 일은 없었다고 한다(제주일보, 1996년 8월 15일자). 동쪽과 서쪽으로 입구를 내고, 널찍하게 공간이 조성되어 많은 사람들이 한꺼번에 드나들기에도 편하게 되어있다. 담장이 낮아 길에서도 훤히 물통 안을 들여다 볼 수 있는데 물통 안에는 바로 식수용 원형 시멘트 물통이 두 군데 있다. 높은 원형의 시멘트 통에서 솟는 물은 식수로, 그다음 낮은 원형 통은 채소를 씻고, 다음 물은 'T'자형으로 칸을 나눴는데 빨래하는 용이다. 둥그렇게 만든 시멘트 물통을 보면서 바다 짠물이 들어가지 못하게 만든 지혜와 그들 나름대로 멋 부린 흔적을 엿볼 수 있었다. 물허벅을 올려놓는 물팡을 양쪽 벽면에 길게 만들었는데, 용출량이 많고 이용하는 사람들도 많았음을 형태구조로도 느낄 수 있다. 담장을 보면 두 번에 걸쳐 쌓았다는 것을 확인할 수 있는데 본래의 형태를 보전하려고 노력한 것으로 보인다. 뱃구들포구(북촌포구) 마을 사람들은 “산지물과 가락쿳물과 사우니 물은 고치 곤다(산지물과 가라쿳물과 사우니물은 같이 말한다)”고 할 정도로 이 마을사람들의 자존심을 갖게 하는 물통이다. 마을주민들은 해마다 마을의 안녕과 건강을 기원하는 포제를 지냈는데 그때는 반듯이 이 물통 주위로 금줄을 쳤고, 상가에 다녀온 사람이나 부정탄 것을 만지거나 본 사람은 이 물통 근처에 얼씬거리지 못하게 하였을 정도로 가장 신성시하였고 정성을 들인 물통이었다. 조사 당일도 정자에서 쉬고 있는 동네 주민은 물병에 물을 길어다 먹고 있었다."
생이고냥물,조천읍 북촌리 488-4,126°41′38.21″,33°33′0.2″,생이(새)가 먹을 만큼 고냥(구멍)에서 작게 솟아나는 물,"사우니물 동쪽 옆으로 개인 집 담장과 붙어 있는 물통으로 이 물의 물줄기가 솟구쳐 올라와 그 물로 눈을 씻으면 눈병이 낫는다고 알려진 물이다. 예전에는 물을 길러 안으로 들어갈 수 있을 만큼 면적이 제법 넓었지만 개인 집 담장을 보수하면서 물통 면적이 줄어들었고, 포구를 정비할 때 도로를 포장하면서 본래 모습과는 많이 차이가 난다. 주민들의 기억에만 남아 있는 물통이라 타지인은 그 곳이 물통인지조차 알 수 없는 초라한 형태이다. 이곳을 매우지 않고 남겨두고 있는 이유를 지역 주민에게 물어보니 물통을 매립하여 물길을 끊어버리면 안 좋다는 것이다. 이는 ‘솟아나는 물’을 그 자체 ‘물’로만 보는 게 아니라 생명이 깃든 신성한 대상으로 생각하는 것이다."
검섯(석)개물,조천읍 북촌리 1193-3번지,126°41′20.64″,33°32′54″,바닥 돌들이 새까맣게 보이는 검섯개의 물,"북촌리 해동의 옛 이름은 ‘해뎅이’이다. 북촌리 서쪽 해동에 가면 ‘검섯개’라 부르는 포구 지경에 있어서 ‘검섯개물’이라고 했다. 해동 주민들이 즐겨 마셨던 물이라서 ‘해뎅이물(해동물)’이라고도 한다. 북촌리 해동 해안도로로 가다 양식장 옆으로 보이는 물인데, 도로에서 내려가면 높이가 다른 원형 물통이 보인다. 키가 약간 큰 원형의 시멘트통(윗통)물은 식수용, 바로 아래 원형 시멘트 통 물은 채소 씻는 물로, 다음은 빨래하는 물로 쓰였다. 해동마을 중심에 두레박으로 떠다먹는 우물통(통물)이 생기면서 ‘검섯개물’은 식수로써 기능은 줄어들었다. “물이 살아서 완전 좋아신디, 양식장이 생기면서.....다시 잘 살려주십서.” 이 물은 살아있다고 표현할 만큼 물살이 세었고, 물맛도 좋았다고 한다. 주민들은 물통 옆에 양식장이 들어서면서 물이 예전만 못하다고 입을 모은다. 태풍으로 인해 물통이 자주 훼손되어 동그란 시멘트 통을 새로 만들고 수리하였다. 하지만 용출량이 줄어들고 인가에서 떨어진 탓에 마을 주민들의 발길은 뜸하다. 다만 지나가는 여행객들에게는 제주의 물문화를 보여줄 수 있는 독특한 모양의 물통이다."
도아치물,조천읍 북촌리 중동 해안가(사원이물 근처),126°41′38.74″,33°33′0.9″,,"북촌리 2동, 3동 상동사람들이 이용했던 용천수로, 남자만이 몸을 씻었던 남성전용 물통이다. 오목하게 되어 있어서 목욕하기 좋게 되어 있는데, 여름밤에는 여자들이 목욕을 하기도 했었다. 마을에 중대사가 있을 때 사람들이 모이는 장소로, 동네마다 돼지를 잡는 곳이 있었는데 2동, 상동사람들이 이 물 옆에서 돼지를 잡았다고 한다. 북촌 포구를 정비하면서 물통도 개보수하였는데 시멘트로 둥그렇게 새로 단장했고, 제주 돌담형식인 원형 콘크리트 옹벽으로 개조하여 보존하였다. 북촌은 그 동마다 주로 이용하는 물통이 있었지만 2동, 3동처럼 같이 붙어 있으면 나중에는 공동으로 이용했다. 바닷물이 썰물이 되면 ‘도와치물’을 먹고 밀물이 되면 ‘사우니물’ 먹었다. 바닷물이 들어와서 식수용 물통과 목욕용 물통을 이용 못하면 더 위로 올라가서 멀리 떨어진 곳의 물을 길어 오기도 했다."
정지물,조천읍 북촌리 1389-3,126°41′33.11″,33°32′59.78″,,"‘정지’는 부엌을 의미 하는 제주어로 이 동네를 ‘정지물 동네’라고도 했다. 이 물은 좀처럼 가뭄에도 마르지 않아 북촌 섯동(西洞)의 식수였다. 이름에서도 알 수 있듯이 여자전용으로 사용한 물통이며, 검섯개물과 함께 1동 섯동네 주민들이 식수로 이용했던 물통이다. 물통 주위는 원래 바다였는데 주택들이 들어서면서 매립한 것이다. 물통은 동그랗게 담을 쌓았고, 드나들기 쉽게 남북 양쪽으로 입구를 내었다. 물통 안에 몇 계단 내려가면 두 개의 원형 시멘트 식수통이 보인다. ‘ㄱ’, ‘ㅗ’ 형태로 양옆으로 물팡도 설치했다. 원래 면적은 조금 더 컸었다고 주민이 말한다."
용물,조천읍 북촌리 403-7(앞바다),126°41′54.06″,33°33′09.65″,바닷물이 들어도 물이 우왁 우왁 용솟음 쳥 나온다,"북촌 너븐빌레(넓적한 돌밭) 동쪽 다려도 앞에는 용암이 분출해서 자연적으로 형성된 바닷가 빌레가 있는데, ‘용물’이라고 하는 해안용천수가 있다. 옛날부터 물맛이 조금 짭조름해서 식수로 길어다 먹기에는 적당치 못했고, 주로 목욕하러 왔던 장소였다. ‘용물’은 물이 너무 시려 오래 앉아있지를 못했다고 한다. 특히 여름철에는 남녀노소가 더위를 피해서 이곳으로 왔는데 용물 주변으로 넓적한 빌레에 천막을 쳐놓고 며칠간 지내며 물을 맞았다. 여름철 땀띠로 고생하는 사람, 피부가 안 좋은 사람들이 이 물에 와서 몸을 씻고 담가 앉으면 나았다고 한다. ‘용물’이 담수라 그런지 돌을 일러보면 보말도 많고 게도 많아서 잡는 재미도 쏠쏠했다. 용출량은 많지만 바닷물이 밀물일 때는 용출지점이 어디인지 찾을 수 없어 돌담을 둥그렇게 쌓아 쉽게 찾을 수 있다. 목욕 전용이라 칸을 나누지는 않았다."
모랫발물(모래빨물),구좌읍 김녕리 4099(서북쪽 공유수면),126°44′27.69″,33°33′20.59″,모래밭에서 솟아나는 물,"영등물당(서문하르방당) 동쪽에 위치하고 있으며, 남흘동 조랑개 인근에 위치하는 용천수로 식수로 이용하기 보다는 허드레물로 이용되었다. 사각 석축으로 정비되어 담수욕장으로 사용했는데, 현재 김녕항 내에 용천수 도로가 개설되어 있어 산책하면서 쉽게 만날 수 있다."
청굴물,구좌읍 김녕리 1296,126°45′4.93″,33°33′29.19″,여름 더위를 쫓아내는 청색의 차가운 물,"청굴물이 위치한 동네 이름이 청수동인데, 청수동의 원래 지명이 청굴동이다. 청수동의 물은 극냉한 청수물로 하절기가 되면 여름병을 치료하기 위하여 모인 사람들이 이삼일씩 유숙을 하며 물을 맞고 하였던 곳이다. 청수물 또는 청굴물이라 하는 이유는 차가움의 청색에서 유래되었음을 유추할 수 있다. 청굴물은 식수용 보다는 아이들 물놀이터와 우마급수용으로 나누어 사용했으며 주변 경관이 우수하여 관광객 물놀이장으로 이용되고 있다. 정비하면서 원래의 의도가 아닌 남자탕과 여자탕으로 나누어 정비되었다. 청굴물 입구엔 1971년 7월 세워진 ""임인화공덕비“와 ”청수욕장수리비희사자기념비""가 있다. 주민들의 생명수인 청굴물을 관리하는데 많은 도움을 준 분들의 공덕을 기리기 위해 마을 주민들이 뜻을 모아 세운 비석이다."
수감물,구좌읍 김녕리 3978,126°44′39.77″,33°33′20.82″,물맛이 달아 수감이라 불린 물,"김녕포구 옛지명 한수개 서쪽 조간대에 위치한 용천수로 고망물 서북쪽 50m에 위치하며 백련사 인근으로 출입이 가능하다. 해안가 용천수는 밀물 때 짜고 썰물 때 달지만 수감물은 사시사철 그 맛이 달다고 한다. 샘물이 솟고 있는 곳을 자세히 들여다보면 사람의 목젖처럼 보이는데 서김녕리 마을 사람들이 활용하였던 중요한 식수원으로 사용되었다. 흐른물, 고망물과 함께 복원 축조되었으며 안쪽에 공덕비가 위치하고 있고, 울타리가 타 용천수에 비해 높게 석축 되어 있고 면적이 제일 넓다. 물흐르는 개구부가 있으며 물팡의 흔적도 볼 수 있는데 현재 사용하고 있지 않다."
개웃샘물,구좌읍 김녕리 1513-2,126°45′9.95″,33°33′21.55″,죽어가는 사람도 살리는 신령한 물,"물 흐르는 모양이 전복 내장과 같은 모습에 비추어 게웃샘물이라 하는데, 동굴모양이 한쪽으로 휘어 돌아간다는 표현이 더욱 신빙성이 있다. 수리기념비에는 “게”가 아닌 “개”로 표기되어 개웃샘물이라 적시한다. 이 개웃샘물은 우물(한질통/왈절통)과 상수도가 보급되기 전에 동성동과 신산동의 경계에 위치하고 있어서 양쪽 동네 주민들 200여명의 식수원이 되었던 소중한 물이다. 개웃샘물은 용암동굴의 구조 일부가 노출되어 드러나고, 하부 청굴물까지 이어지는 구조의 형태인데, 이는 용천수의 가치만이 아니라 제주 지질학적인 측면에서도 가치가 있는 것이다. 또한 문화역사적으로도 가치가 우수한데 “죽어가는 사람도 살리는 물”이라 한다. “개웃새물은 개우새동굴의 물이라는 뜻입니다. 맑고 시원한 물이 굴속에서 바닷 쪽으로 흘러내리는데 죽어가는 사람도 이 물을 마시면 살아난다고 마을사람들은 믿고 있습니다. 마을 각종제례에 쓰는 물은 이곳 물을 사용합니다. 땅 아래에서 물소리가 들려 땅을 파 내려가다 보니 동굴이 나왔고 동굴 안에서 맑은 샘이 솟아나 이 물을 식수원으로 이용하였다고 하는 김녕에서 가장 신령한 용천수입니다.”"
흐른물(흐르물),구좌읍 김녕리 3951,126°44′43.14″,33°33′18.97″,,"김녕포구 옛 지명 한수개 들어가는 입구에 있는 용천수로 자연스럽게 둔덕에서 흘런 내린다 하여 흐른물 또는 흐르물이라 붙여진 명칭으로 해석한다. 서김녕리 마을 사람들이 활용하였던 용천수로 이웃한 고망물과 함께 중요한 식수원으로 활용한 곳이다. 현재 지번이 도로로 되어 있으며 주위 울타리는 현무암 석축으로 둘러싸여 있지만 개인의 무단점유, 농약 고무통 방치 등 관리가 되고 있지 않는 실정이다."
고망물(고냥물),구좌읍 김녕리 3949,126°44′40.76″,33°33′19.57″,,"김녕포구의 옛지명인 한수개에 들어가는 입구에 있으며, 구멍에서 물이 쏟아진다하여 고망물, 고냥물이라 명칭되었다. 주로 서김녕리 마을 사람들이 활용하였던 용천수로 이웃한 흐른물과 함께 중요한 식수원으로 활용한 곳이다. 현재 사용은 되지 않지만, 청결하게 잘 보존되어 있어 흐른물, 감수물 등과 연계하여 김녕리의 물 이용 역사에 대한 변화를 살펴볼 수 있도록 하는 접근이 필요하다. 다행히 조사 당시에는 김녕리 청년회에서도 정비 및 보존을 위한 노력이 시작되고 있었다."
거슨물,구좌읍 한동리(계명동),126°50′14″,33°32′21″,한라산을 향해 흐르는 샘물,"제주에는 일반적으로 한라산 쪽에서 바닷가 방향으로 물이 흐르는데, 역으로 한라산 방향으로 흐르는 샘을 거슨새미 또는 거슨물이라고 부른다. 거슨물은 마을 사람들이 빨래도하고 목욕도 했었지만, 지금은 상수도 보급으로 인해 지금은 이용하지 않는다. 일제 강점기에는 평대리에 속해 있었으나 4.3이후 마을이 들어서고 한동리로 속하게 되어 지금은 한동리 계명동 바다에 속해 있다. 흐르는 물의 양은 많지 않지만 썰물 때는 바다에서 한라산 방향으로 흐르는 것을 확인할 수 있어서 용천수 교육의 장으로 활용가치가 있다고 할 수 있다."
갯마리 큰물,구좌읍 평대리 3351,126°51′44.05″,33°31′29.21″,마을이 크게 되기를 염원하는 큰물,"갯마리 큰물은 세화리와 평대리 경계에 있는 바닷가에서 솟아나는 용천수였다. 세화리 해안 매립공사로 현재는 구좌농협 하나로 마트 주차장으로 변해 버렸다. 다행히 워낙 흐르는 물의 양이 많은 용천수라 경계울타리와 용천수로 내려가는 계단을 조성하여 보존하고 있다. 예전 상수도가 없을 때 바다에 용천수를 가둬서 주민들이 우물처럼 사용한 곳이며, 두 곳으로 나눠져 한 곳은 식수로 사용하였고, 한 곳은 목욕 및 생활용수로 사용하였다고 한다. 용천수 주변 안전 울타리와 용천수로 내려가는 계단을 설치하여 잘 보존되고 있으며 표지판을 세워 용천수에 대한 설명도 잘 되어 있다."
감수굴물,구좌읍 평대리,126°50′32″,33°31′51″,,"이 곳 절터왓 부근에서 유생 강 씨가 모래땅에서 샘을 처음 발견하였는데 물맛이 좋아(달다) 감수라 하였다. 평대리 주민 외에도 인근 세화리, 한동리 주민까지도 식수로 이용해왔으며 마을 포제 등 주요행사 때는 며칠씩 금줄을 메어 일반인이 사용을 금하여 부정을 방지했다고 한다. 이 고장 문화를 이룬 감수굴물은 조상의 혼이 담긴 유산으로 보전하고자 수덕비도 세워져 있는데, ‘숙종28(1703)년 제주목사 이형상이 사찰을 폐쇄할 무렵 이 곳 절터왓 부근에서 유생 강 씨가 모래땅에서 샘을 처음 발견하였다.’라고 씌어져 있다. 이후 1940년 경 지금의 원통형으로 만들어 현재 안내표지판, 경계돌담과 우물뚜껑, 지붕까지 복원되어 잘 보존되고 있으나 사용은 하지 않고 있다."
