사업장명,전화번호,소재지면적,지번주소,도로명주소,위생업태명,시설총규모,영업상태명,폐업일자,위도,경도
낙도맨션,,33.04,경상남도 김해시 봉황동 223-10번지 1층,"경상남도 김해시 봉황대길 46, 1층 (봉황동)",기타,33.04,영업/정상,,35.2288214100 ,128.8786243000 
이모깍두기,055-343-8480,191.25,경상남도 김해시 진례면 고모리 1565-1,경상남도 김해시 진례면 테크노밸리1로 196-43,한식,191.25,영업/정상,,35.2783166800 ,128.7704124000 
천하대만족,055-339-3031,25.69,경상남도 김해시 외동 1229-6번지,경상남도 김해시 금관대로 1196 (외동),한식,25.69,영업/정상,,35.2335254400 ,128.8536485000 
폭시,,104.3,,"경상남도 김해시 해반천로144번길 29-16, 201,202호 (삼계동, 리치프라자)",감성주점,104.3,영업/정상,,,
에잇플로어&데상드파티,055-327-7737,134.96,경상남도 김해시 외동 1257-2번지 메트로타워2 806호,"경상남도 김해시 내외중앙로 34, 806호 (외동, 메트로타워2)",기타,134.96,영업/정상,,35.2328378300 ,128.8666708000 
모두미튀김,,18.72,경상남도 김해시 삼방동 226-1번지,경상남도 김해시 삼안로196번길 2 (삼방동),분식,18.72,영업/정상,,35.2455456900 ,128.9122300000 
수제갈비도담,055-323-5298,855.27,경상남도 김해시 외동 1263-1번지 2층,"경상남도 김해시 전하로304번길 11, 2층 (외동)",식육(숯불구이),855.27,영업/정상,,35.2307541300 ,128.8706365000 
향미뒷고기,055-322-8287,58.4,경상남도 김해시 외동 1233-8번지,경상남도 김해시 금관대로1180번길 19-1 (외동),식육(숯불구이),58.4,영업/정상,,35.2319788800 ,128.8543793000 
이화원,055-326-0802,127,경상남도 김해시 진영읍 여래리 966-1번지,경상남도 김해시 진영읍 본산로 27-7,중국식,127,영업/정상,,35.3078087700 ,128.7374833000 
올빼미식당,,29,경상남도 김해시 명법동 669번지,경상남도 김해시 금관대로804번길 73-14 (명법동),기타,29,영업/정상,,35.1999143000 ,128.8378777000 
에디스카페,055-328-4311,123.29,경상남도 김해시 대청동 828-4번지,경상남도 김해시 대청계곡길 53 (대청동),한식,123.29,영업/정상,,35.1846179500 ,128.7882019000 
리인식당,,98.34,,경상남도 김해시 장유로334번길 26 (신문동),한식,98.34,영업/정상,,,
봉하 어부 식당,055-345-3783,178.42,경상남도 김해시 진영읍 본산리 76-4번지 외14필지 봉하장터 2층,"경상남도 김해시 진영읍 봉하로 108, 2층 (봉하장터)",분식,178.42,영업/정상,,35.3134321100 ,128.7694702000 
편안한맛집,055-345-4799,46.92,경상남도 김해시 진례면 청천리 367-4번지,경상남도 김해시 진례면 서부로 401,한식,46.92,영업/정상,,35.2663546200 ,128.7533401000 
천하 왕 소금구이,055-338-8292,150,경상남도 김해시 삼방동 176-8번지,경상남도 김해시 삼안로195번길 46 (삼방동),식육(숯불구이),150,영업/정상,,35.2450968600 ,128.9071925000 
몬나이밥집,,63.15,경상남도 김해시 진례면 담안리 1509번지,경상남도 김해시 진례면 고모로324번길 3,기타,63.15,영업/정상,,35.2560298000 ,128.7668273000 
Marjorie(마죠리),055-321-6777,54.8,경상남도 김해시 내동 1141-1번지 105호,"경상남도 김해시 경원로73번길 9, 105호 (내동)",기타,54.8,영업/정상,,35.2377046400 ,128.8680301000 
다락,,29.7,경상남도 김해시 부원동 833-21,경상남도 김해시 가락로63번길 2-4 (부원동),기타,29.7,영업/정상,,35.2322709600 ,128.8814850000 
카페아리아,,41.54,경상남도 김해시 외동 698-6,경상남도 김해시 금관대로1209번길 19 (외동),기타,41.54,영업/정상,,35.2347732400 ,128.8531013000 
화통갈비,055-312-1828,102.54,경상남도 김해시 삼계동 1421-9번지,"경상남도 김해시 김해대로1765번길 29-5, 1층 (삼계동)",식육(숯불구이),102.54,영업/정상,,35.2679197100 ,128.8642202000 
부오집(부엉이오뎅집),055-322-4173,46.46,경상남도 김해시 대청동 313-1번지 마루애빌딩 105호,"경상남도 김해시 계동로 233, 1층 105호 (대청동, 마루애빌딩)",일식,46.46,영업/정상,,35.1912504500 ,128.8035511000 
마이리틀메이트,,397.7,"경상남도 김해시 관동동 1099-2 3,4층","경상남도 김해시 관동로 92, 3,4층 (관동동)",경양식,397.7,영업/정상,,35.1771676300 ,128.8134029000 
사랑해스리랑카,,90,경상남도 김해시 동상동 904-2번지,"경상남도 김해시 호계로499번길 14, 1층 (동상동)","외국음식전문점(인도,태국등)",90,영업/정상,,35.2350536800 ,128.8830752000 
고집센그집갈비탕 (외동점),055-328-9007,73.44,"경상남도 김해시 외동 1252-3번지 혜민빌딩, 101호,105호 일부","경상남도 김해시 함박로101번길 20, 101,105일부호 (외동, 혜민빌딩)",한식,73.44,영업/정상,,35.2340069200 ,128.8657934000 
명랑핫도그(김해연지점),055-338-5355,29.1,경상남도 김해시 내동 1117-1번지 경보스포츠프라자 102호,"경상남도 김해시 내외로77번길 12, 102호 (내동, 경보스포츠프라자)",기타,29.1,영업/정상,,35.2356092400 ,128.8660961000 
마들,055-312-6488,97.7,경상남도 김해시 관동동 465-9번지 1층,"경상남도 김해시 덕정로186번길 12-10, 1층 (관동동)",경양식,97.7,영업/정상,,35.1768532500 ,128.8024430000 
에이치제이(H.J.)푸드,055-324-0930,33,경상남도 김해시 내동 1088-9번지,"경상남도 김해시 경원로11번길 17-8, 101호 (내동)",기타,33,영업/정상,,35.2401994200 ,128.8632883000 
강나루 장어구이,,229.84,경상남도 김해시 불암동 229-40번지,경상남도 김해시 식만로348번길 23-1 (불암동),한식,229.84,영업/정상,,35.2181444300 ,128.9227641000 
둘둘치킨,055-339-3422,134.2,경상남도 김해시 구산동 704-37번지,경상남도 김해시 가락로 362-1 (구산동),호프/통닭,134.2,영업/정상,,35.2571131500 ,128.8703363000 
마실거리,,69.82,경상남도 김해시 대성동 481-8 2층,"경상남도 김해시 가야로405번길 16, 2층 (대성동)",기타,69.82,영업/정상,,35.2434185500 ,128.8830891000 
돈친,,73.15,경상남도 김해시 어방동 359-23번지,"경상남도 김해시 활천로214번길 18, 1층 (어방동)",경양식,73.15,영업/정상,,35.2408328600 ,128.9024315000 
쿠우쿠우김해장유점,055-311-6274,931.08,경상남도 김해시 대청동 301-7번지 부자빌딩 501호,"경상남도 김해시 삼문로 15, 5층 501호 (대청동, 부자빌딩)",뷔페식,931.08,영업/정상,,35.1926565800 ,128.8022034000 
보경아구찜,,42.45,경상남도 김해시 외동 1188-1,경상남도 김해시 우암로31번길 11 (외동),한식,42.45,영업/정상,,35.2336297100 ,128.8592855000 
대박집,055-343-0050,20,경상남도 김해시 진영읍 진영리 1709-5,경상남도 김해시 진영읍 장등로 82,호프/통닭,59.4,영업/정상,,35.3128594700 ,128.7340542000 
한림가마솥돼지국밥,055-313-5457,124.1,경상남도 김해시 삼계동 1500-8번지,경상남도 김해시 삼계로 11 (삼계동),한식,124.1,영업/정상,,35.2572250900 ,128.8673044000 
김고집,055-322-2344,42,경상남도 김해시 부원동 67-4번지 부원상가빌딩 105호,"경상남도 김해시 호계로452번길 23-8, 105호 (부원동, 부원상가빌딩)",호프/통닭,42,영업/정상,,35.2299766500 ,128.8870629000 
왔다뒷고기,055-321-7771,112.8,"경상남도 김해시 대청동 304-2번지 워드3, 101호","경상남도 김해시 번화1로44번길 12, 1층 101호 (대청동, 워드3)",호프/통닭,112.8,영업/정상,,35.1911884700 ,128.8020242000 
빈티지카페 더퀸(The Queen),,87.65,경상남도 김해시 관동동 473-2번지 1층,"경상남도 김해시 대청로26번안길 14, 1층 (관동동)",기타,87.65,영업/정상,,35.1762896300 ,128.8018007000 
처갓집 양념치킨 안동삼안점,,62.16,경상남도 김해시 삼방동 32-5번지,경상남도 김해시 삼안로131번길 8-4 (삼방동),호프/통닭,62.16,영업/정상,,35.2402283400 ,128.9144996000 
태경농장(식당),055-337-2895,94.6,경상남도 김해시 상동면 여차리 571번지,경상남도 김해시 상동면 여차로471번안길 13,한식,94.6,영업/정상,,35.3444036100 ,128.8949917000 
카페 플로브(cafe Fleuve),051-971-4771,161.85,경상남도 김해시 불암동 229-44 1층,"경상남도 김해시 식만로348번길 17-1, 1층 (불암동)",기타,161.85,영업/정상,,35.2184017000 ,128.9233053000 
한국국밥,055-312-2135,260.42,경상남도 김해시 부원동 832-16번지,경상남도 김해시 가락로 57 (부원동),한식,260.42,영업/정상,,35.2315306700 ,128.8816418000 
골목식당,,77.89,경상남도 김해시 진영읍 여래리 710-24번지,경상남도 김해시 진영읍 진영로 206,한식,77.89,영업/정상,,35.3025661800 ,128.7354234000 
영심이 해장국,055-332-0703,53.1,경상남도 김해시 진영읍 진영리 888번지,경상남도 김해시 진영읍 진산대로201번길 48,한식,53.1,영업/정상,,35.3186749800 ,128.7248576000 
설국참치,055-311-3737,102.9,경상남도 김해시 대청동 318-3번지 공원프라자 102호,"경상남도 김해시 번화2로 61-5, 1층 102호 (대청동, 공원프라자)",일식,102.9,영업/정상,,35.1938418500 ,128.8028959000 
주)제이와이에이치 만소,055-322-3348,153.97,경상남도 김해시 구산동 1065-3,경상남도 김해시 구산로19번길 7 (구산동),한식,153.97,영업/정상,,35.2496030400 ,128.8705416000 
막창본가,055-335-9275,81.91,경상남도 김해시 내덕동 218-4번지,경상남도 김해시 내덕로56번길 22 (내덕동),식육(숯불구이),81.91,영업/정상,,35.2041280800 ,128.8148472000 
포항포차,,40.41,경상남도 김해시 부원동 838-12번지 용암불교사,"경상남도 김해시 가락로49번길 7, 용암불교사 (부원동)",기타,40.41,영업/정상,,35.2308123300 ,128.8812605000 
걸작떡볶이 김해1호점,055-338-3435,37,경상남도 김해시 동상동 728번지 1층,"경상남도 김해시 분성로 358-10, 1층 (동상동)",분식,37,영업/정상,,35.2337866200 ,128.8850060000 
현풍닭칼국수,055-335-4646,127.19,경상남도 김해시 관동동 1064-7번지,경상남도 김해시 율하2로 3 (관동동),기타,127.19,영업/정상,,35.1768537100 ,128.8064393000 
장유율하가야밀면,,65.79,경상남도 김해시 관동동 1058-7번지,경상남도 김해시 관동로24번길 3-1 (관동동),기타,65.79,영업/정상,,35.1769102800 ,128.8060666000 
업텐 브로 피자,055-909-9600,50.1,경상남도 김해시 외동 1193-10번지,경상남도 김해시 우암로31번길 8-3 (외동),기타,50.1,영업/정상,,35.2337903100 ,128.8595179000 
명품푸드,,23.6,경상남도 김해시 삼방동 645-9번지,경상남도 김해시 삼안로280번길 11 (삼방동),한식,23.6,영업/정상,,35.2530936300 ,128.9082048000 
다담은,055-339-6823,51.17,경상남도 김해시 삼정동 592-1번지 경남타워 102호,"경상남도 김해시 활천로36번길 24, 102호 (삼정동, 경남타워)",한식,51.17,영업/정상,,35.2319765900 ,128.8957746000 
맘김밥 앤 장칼국수,055-322-1588,45.91,경상남도 김해시 삼정동 634-7번지 샛별그랜드빌 102호,"경상남도 김해시 인제로51번길 50, 102호 (삼정동, 샛별그랜드빌)",한식,45.91,영업/정상,,35.2330129800 ,128.8994444000 
본산한우프라자,055-345-3377,345.3,경상남도 김해시 진영읍 본산리 861-5,경상남도 김해시 진영읍 본산1로 69,식육(숯불구이),345.3,영업/정상,,35.3131462400 ,128.7460876000 
아스토리아,,130.27,경상남도 김해시 진영읍 진영리 1617-4번지,경상남도 김해시 진영읍 김해대로407번길 24-14,"외국음식전문점(인도,태국등)",130.27,영업/정상,,35.3074780200 ,128.7325869000 
청정굴국밥,055-345-5335,148.51,경상남도 김해시 진영읍 본산리 1550-1번지,경상남도 김해시 진영읍 장등1로31번길 12-4,한식,148.51,영업/정상,,35.3151517200 ,128.7380450000 
투몽,055-311-9292,49.68,,"경상남도 김해시 인제로210번길 20, 1층 (삼방동)",호프/통닭,49.68,영업/정상,,,
석꾼(율하점),,148.59,경상남도 김해시 율하동 1321-6,경상남도 김해시 율하1로81번길 16 (율하동),식육(숯불구이),148.59,영업/정상,,35.1749305000 ,128.8149834000 
돈치킨 삼정점,055-336-9292,58.08,경상남도 김해시 삼정동 66-4번지,경상남도 김해시 활천로36번길 71 (삼정동),호프/통닭,58.08,영업/정상,,35.2344693600 ,128.8999659000 
만세통닭,055-339-8789,64.42,경상남도 김해시 부원동 25-5번지,경상남도 김해시 분성로376번길 26 (부원동),호프/통닭,64.42,영업/정상,,35.2318607500 ,128.8870395000 
엠마오,,49.12,경상남도 김해시 관동동 466-4번지 1층,"경상남도 김해시 덕정로186번길 8, 1층 (관동동)",한식,49.12,영업/정상,,35.1765533300 ,128.8028134000 
차타타 진영점,055-343-8333,10,경상남도 김해시 진영읍 진영리 1709-5번지 3층,"경상남도 김해시 진영읍 장등로 82, 3층",키즈카페,10,영업/정상,,35.3128594700 ,128.7340542000 
가마치 옛날통닭,055-313-6665,45,경상남도 김해시 서상동 330-9번지,경상남도 김해시 분성로 291-8 (서상동),호프/통닭,45,영업/정상,,35.2331804900 ,128.8778914000 
대발이,055-323-7388,43.36,경상남도 김해시 무계동 226번지 1층,"경상남도 김해시 장유로307번길 6, 1층 (무계동)",한식,43.36,영업/정상,,35.1993332600 ,128.8160841000 
화성,,100.25,경상남도 김해시 관동동 1085-11번지 1층,"경상남도 김해시 관동로27번길 52, 1층 (관동동)",한식,100.25,영업/정상,,35.1779299900 ,128.8112916000 
신리돼지국밥,055-325-9882,95.46,경상남도 김해시 율하동 1318-3번지,경상남도 김해시 율하1로 89 (율하동),한식,95.46,영업/정상,,35.1743150700 ,128.8140112000 
굴렁쇠,,23.1,경상남도 김해시 어방동 862-4번지,경상남도 김해시 분성로501번길 9 (어방동),분식,23.1,영업/정상,,35.2361102700 ,128.9011266000 
제이푸드,055-339-5424,66.35,경상남도 김해시 구산동 1066-10번지,경상남도 김해시 해반천로16번길 12-16 (구산동),식육(숯불구이),66.35,영업/정상,,35.2496444700 ,128.8710475000 
김정식의삼일뒷고기 율하점,055-329-4055,53.75,경상남도 김해시 관동동 469-1번지,경상남도 김해시 대청로26번안길 13 (관동동),식육(숯불구이),53.75,영업/정상,,35.1762878000 ,128.8020752000 
목구멍 김해점,055-335-8089,146.07,경상남도 김해시 동상동 1119-1 1층,"경상남도 김해시 구지로211번길 27, 1층 (동상동)",식육(숯불구이),146.07,영업/정상,,35.2400925900 ,128.8842946000 
봉하밥상,,187.63,경상남도 김해시 진영읍 본산리 8-302번지 1층,"경상남도 김해시 진영읍 봉하로 108, 1층",한식,187.63,영업/정상,,35.3133718200 ,128.7690297000 
the칼국수,055-313-2224,46.96,경상남도 김해시 관동동 444-4번지 1층 109호,"경상남도 김해시 팔판로 26, 1층 109호 (관동동)",분식,46.96,영업/정상,,35.1771295800 ,128.7905997000 
예술가,055-338-0629,45,경상남도 김해시 내동 133-1번지 1층,"경상남도 김해시 금관대로1365번길 3, 1층 (내동)",한식,45,영업/정상,,35.2445421200 ,128.8660923000 
만리장성,055-343-9464,167.4,경상남도 김해시 진례면 고모리 1565-1번지,경상남도 김해시 진례면 테크노밸리1로 196-43,중국식,167.4,영업/정상,,35.2783166800 ,128.7704124000 
원조창포해물칼국수,055-346-6550,106.41,경상남도 김해시 진영읍 진영리 1725-4번지,경상남도 김해시 진영읍 장등1로 48,한식,106.41,영업/정상,,35.3139685900 ,128.7398927000 
수수,,37.44,경상남도 김해시 동상동 980-6번지 5층,"경상남도 김해시 호계로499번길 15, 5층 (동상동)",기타,37.44,영업/정상,,35.2348571600 ,128.8828314000 
꼴통,,43.86,경상남도 김해시 어방동 710번지 어방동원상가 비동 115호,"경상남도 김해시 활천로 179, 115호 (어방동, 어방동원상가 비동)",기타,43.86,영업/정상,,35.2405184600 ,128.8998680000 
찜닭파는집 김해장유점,,32.41,경상남도 김해시 삼문동 79-3번지 퓨전스포츠타운 107호,"경상남도 김해시 능동로 27, 퓨전스포츠타운 1층 107호 (삼문동)",호프/통닭,32.41,영업/정상,,35.1967497700 ,128.7966322000 
플라이트,,99.48,경상남도 김해시 대청동 307-10번지 1층,"경상남도 김해시 번화1로20번길 13-1, 1층 (대청동)",기타,99.48,영업/정상,,35.1900309600 ,128.8025838000 
예늪오리가,055-344-0011,297,경상남도 김해시 진례면 청천리 1-12 1층,"경상남도 김해시 진례면 서부로 400-6, 1층",식육(숯불구이),297,영업/정상,,35.2669775800 ,128.7531811000 
나홀로 집밥,055-322-0506,26.38,경상남도 김해시 내동 161-12번지,경상남도 김해시 금관대로1297번길 4-4 (내동),한식,26.38,영업/정상,,35.2403396400 ,128.8613231000 
얼크니손칼국수,055-311-2640,248.64,경상남도 김해시 삼방동 1092-14번지,경상남도 김해시 인제로 433-5 (삼방동),한식,248.64,영업/정상,,35.2654356600 ,128.8958685000 
나루,055-343-1357,50.99,경상남도 김해시 진영읍 여래리 965-1 혜종빌딩 107호,"경상남도 김해시 진영읍 본산로 23-16, 107호 (혜종빌딩)",회집,50.99,영업/정상,,35.3078783700 ,128.7364173000 
맘스터치 김해한림점,055-345-1199,79.31,경상남도 김해시 한림면 신천리 391-21번지 1층,"경상남도 김해시 한림면 김해대로 1464, 1층",기타,79.31,영업/정상,,35.2769778900 ,128.8322526000 
딸부자 밀면,055-343-5002,66.67,경상남도 김해시 진례면 산본리 61-3번지,경상남도 김해시 진례면 고모로 53,기타,66.67,영업/정상,,35.2328991900 ,128.7683340000 
올리브,055-346-3523,50.45,경상남도 김해시 진례면 송정리 234번지,경상남도 김해시 진례면 진례로 234,기타,50.45,영업/정상,,35.2482296000 ,128.7486340000 
충무김밥 손칼국수 전문점,,30,경상남도 김해시 삼방동 193번지 대동아파트상가동 아동 8호,"경상남도 김해시 활천로285번길 4, 아동 1층 8호 (삼방동, 대동아파트)",분식,30,영업/정상,,35.2438999400 ,128.9105304000 
행운양꼬치집,055-334-7098,67.28,경상남도 김해시 동상동 907-1번지,경상남도 김해시 호계로499번길 10 (동상동),한식,67.28,영업/정상,,35.2350875700 ,128.8833722000 
낭만포차,,49.58,경상남도 김해시 삼정동 613-5번지,"경상남도 김해시 김해대로2491번길 7, 1층 (삼정동)",정종/대포집/소주방,49.58,영업/정상,,35.2287072000 ,128.8990562000 
단디무라,,74.64,"경상남도 김해시 동상동 966-1번지 1, 2층","경상남도 김해시 호계로499번길 5-8, 1, 2층 (동상동)",기타,74.64,영업/정상,,35.2347878000 ,128.8836876000 
가마솥에빠진닭,055-902-9991,72.6,경상남도 김해시 전하동 15-9번지,"경상남도 김해시 전하로208번길 40-5, 1층 (전하동)",호프/통닭,72.6,영업/정상,,35.2237609600 ,128.8729015000 
별마당포차,,105,,"경상남도 김해시 인제로188번길 9, 3층 (어방동)",기타,105,영업/정상,,,
청담동 말자싸롱 무계점,055-323-2533,39,경상남도 김해시 무계동 117-18번지 남명더라우2단지상가 101호,"경상남도 김해시 무계로 79, 101호 (무계동, 남명더라우2단지상가)",정종/대포집/소주방,39,영업/정상,,35.2022757700 ,128.8168384000 
가마솥 돼지국밥,,44.35,경상남도 김해시 진영읍 방동리 341-19번지 2층,"경상남도 김해시 진영읍 하계로 91, 2층",한식,44.35,영업/정상,,35.2850499000 ,128.7132341000 
윤호프,,119.34,경상남도 김해시 봉황동 27-8번지 2층,"경상남도 김해시 김해대로2325번길 3, 2층 (봉황동)",호프/통닭,119.34,영업/정상,,35.2266586600 ,128.8810177000 
더다함감자탕 병동공단점,055-346-1022,69.5,경상남도 김해시 한림면 병동리 642-1번지 1층,"경상남도 김해시 한림면 김해대로974번길 111-41, 1층",한식,69.5,영업/정상,,35.2825625800 ,128.7912733000 
개리비안비치,,48,경상남도 김해시 대동면 초정리 346-5번지 A동,"경상남도 김해시 대동면 대동로 536-19, A동",기타,48,영업/정상,,35.2427570800 ,128.9738710000 
"오늘은, 커피",,138.4,경상남도 김해시 삼계동 1447-2 1층,"경상남도 김해시 가야로157번길 9-18, 1층 (삼계동)",기타,138.4,영업/정상,,35.2643059900 ,128.8728752000 
맛있는 우리집,,52.63,경상남도 김해시 외동 7번지 동아그린아파트 상가 103동 102호,"경상남도 김해시 전하로 253, 103동 102호 (외동)",한식,52.63,영업/정상,,35.2256778000 ,128.8720872000 
할매튀김,,11.9,경상남도 김해시 삼방동 686-18번지,경상남도 김해시 삼안로235번길 9 (삼방동),회집,11.9,영업/정상,,35.2486743700 ,128.9097268000 
팔딱활아구,055-323-9200,311.59,"경상남도 김해시 부곡동 801-11 네오푸드앤조이 1,2층 1동 105호","경상남도 김해시 월산로 162, 1동 1,2층 105호 (부곡동, 네오푸드앤조이)",한식,311.59,영업/정상,,35.2088764000 ,128.7989584000 
찰스숯불김밥 홈플러스김해점,070-888-6572,69,경상남도 김해시 내동 1131-2 삼성홈플러스,"경상남도 김해시 김해대로 2078, 2층 (내동)",김밥(도시락),69,영업/정상,,35.2419071300 ,128.8702615000 
청년감자탕,055-902-1350,169.6,경상남도 김해시 삼문동 527 외 1필지,"경상남도 김해시 장유로334번길 90, 1층 (삼문동)",기타,169.6,영업/정상,,35.1919079500 ,128.8090370000 
꽃향기담은주전자,055-333-2562,40.5,경상남도 김해시 어방동 507-10번지,경상남도 김해시 활천로214번길 44 (어방동),정종/대포집/소주방,40.5,영업/정상,,35.2389234600 ,128.9010150000 
돈까스공업사,055-909-9232,68.02,경상남도 김해시 봉황동 301-14번지 1층,"경상남도 김해시 가락로63번길 30, 1층 (봉황동)",경양식,68.02,영업/정상,,35.2318868000 ,128.8785366000 
옹심이 칼국수,055-332-5202,154.7,경상남도 김해시 흥동 390-4번지,경상남도 김해시 전하로133번길 9 (흥동),식육(숯불구이),154.7,영업/정상,,35.2218335800 ,128.8626321000 
두성유통(주)김해휴게소 가야풍경채,055-312-2820,161.7,경상남도 김해시 대동면 월촌리 770번지,"경상남도 김해시 대동면 동남로 400, 김해금관가야휴게소",한식,161.7,영업/정상,,35.2682280100 ,129.0027962000 
두성유통(주)김해휴게소 가락면,055-312-2820,47.94,경상남도 김해시 대동면 월촌리 770번지,"경상남도 김해시 대동면 동남로 400, 김해금관가야휴게소",한식,47.94,영업/정상,,35.2682280100 ,129.0027962000 
울트라반점장유점,055-311-9146,229.4,경상남도 김해시 대청동 800-4 1층,"경상남도 김해시 대청계곡길 153-8, 1층 (대청동)",중국식,229.4,영업/정상,,35.1827831400 ,128.7778305000 
숟가락젓가락,,106.04,경상남도 김해시 내덕동 242-6번지,경상남도 김해시 내덕로108번길 11-1 (내덕동),호프/통닭,106.04,영업/정상,,35.2058353800 ,128.8196417000 
땡기네 앞고기,055-323-3935,96.26,경상남도 김해시 외동 886번지 1층 B동,"경상남도 김해시 분성로 24, B동 1층 (외동)",식육(숯불구이),96.26,영업/정상,,35.2327141500 ,128.8498168000 
오빠막창 김해내외점,055-311-5892,24.7,경상남도 김해시 외동 1249-7번지 성원아파트 상가동 112호,"경상남도 김해시 우암로 2, 성원아파트 상가동 112호 (외동)",한식,24.7,영업/정상,,35.2310159500 ,128.8605103000 
전민규의황제누룽지탕,055-331-1006,215.04,경상남도 김해시 관동동 1076-2번지 1층,"경상남도 김해시 관동로 52, 1층 (관동동)",중국식,215.04,영업/정상,,35.1771981200 ,128.8088580000 
폴수제돈까스,055-339-1153,64.41,경상남도 김해시 삼정동 200-95번지 2층,"경상남도 김해시 분성로454번길 18, 2층 (삼정동)",경양식,64.41,영업/정상,,35.2333362900 ,128.8959653000 
베트남 식당,,175.28,경상남도 김해시 진영읍 진영리 1626-4번지 경남빌딩 402호,"경상남도 김해시 진영읍 장등로 3, 402호 (경남빌딩)","외국음식전문점(인도,태국등)",175.28,영업/정상,,35.3066899000 ,128.7347131000 
히비끼,055-312-5500,156.34,경상남도 김해시 부곡동 801-11 네오푸드앤조이 3동 106호,"경상남도 김해시 월산로 162, 3동 1층 106호 (부곡동)",한식,156.34,영업/정상,,35.2088764000 ,128.7989584000 
진영돼지집,,49,경상남도 김해시 진영읍 여래리 965-2번지,"경상남도 김해시 진영읍 본산로 27-15, 1층",식육(숯불구이),49,영업/정상,,35.3078496500 ,128.7366920000 
이복주원조가오리,055-342-9797,93.52,경상남도 김해시 진영읍 진영리 1618-4번지,"경상남도 김해시 진영읍 김해대로407번길 22-14, 1층",한식,93.52,영업/정상,,35.3074487100 ,128.7329606000 
김밥일번지율하점,055-328-4545,75.44,경상남도 김해시 율하동 1349-1번지 경보오션 외1필지,"경상남도 김해시 율하3로 38, 1층 110호 (율하동, 경보오션 외1필지)",김밥(도시락),75.44,영업/정상,,35.1712566800 ,128.8143978000 
숯통,070-7797-8592,62,경상남도 김해시 어방동 1092-15번지 외1필지,경상남도 김해시 인제로91번길 21 (어방동),회집,62,영업/정상,,35.2364353200 ,128.9022618000 
초원농원 김해점 셀프관,055-311-1592,193.2,경상남도 김해시 삼방동 1086-3번지,경상남도 김해시 인제로 434 (삼방동),기타,193.2,영업/정상,,35.2659008400 ,128.8963463000 
봉황1935,055-329-1935,178.05,경상남도 김해시 봉황동 118-4번지,경상남도 김해시 봉황대길 27-1 (봉황동),기타,178.05,영업/정상,,35.2285017200 ,128.8767204000 
백파선 쉼터,055-323-9765,66,경상남도 김해시 상동면 대감리 599-2번지,경상남도 김해시 상동면 상동로 562,기타,66,영업/정상,,35.3078940500 ,128.9312172000 
(주)채선당 롯데마트김해장유점,,326.59,"경상남도 김해시 대청동 300번지 롯데마트 장유점 내, 1층","경상남도 김해시 번화1로56번길 15, 1층 (대청동, 롯데마트 장유점 내)",뷔페식,326.59,영업/정상,,35.1930412000 ,128.8012957000 
후지우동,055-326-3168,65.53,경상남도 김해시 삼계동 392-1번지 외1필지 A동,"경상남도 김해시 김해대로 1814-37, A동 (삼계동)",일식,65.53,영업/정상,,35.2621609000 ,128.8615433000 
행복한정육식당,055-237-7610,40.57,경상남도 김해시 율하동 1337-1번지,경상남도 김해시 율하2로97번길 12 (율하동),식육(숯불구이),40.57,영업/정상,,35.1713563500 ,128.8129826000 
투헤븐 식당,,41.25,경상남도 김해시 어방동 1094-6번지 외1필지,경상남도 김해시 인제로91번길 9 (어방동),기타,41.25,영업/정상,,35.2364985600 ,128.9034491000 
지코바양념치킨 삼정점,055-327-9277,46.11,경상남도 김해시 삼정동 642-17번지,경상남도 김해시 인제로39번길 48-12 (삼정동),기타,46.11,영업/정상,,35.2321622200 ,128.8999074000 
본도시락 진영점,055-342-4282,54.12,경상남도 김해시 진영읍 진영리 1630-4번지,경상남도 김해시 진영읍 장등로 30-1,김밥(도시락),54.12,영업/정상,,35.3090832000 ,128.7354386000 
블랙문,,268.02,"경상남도 김해시 삼정동 70-3번지 1, 2층","경상남도 김해시 분성로 458, 1, 2층 (삼정동)",기타,268.02,영업/정상,,35.2348590400 ,128.8960480000 
활천삼계탕(본점),,308.56,"경상남도 김해시 동상동 634-6번지 1,2층","경상남도 김해시 분성로 412, 1,2층 (동상동)",한식,308.56,영업/정상,,35.2345164700 ,128.8911773000 
그란데(GRANDE),,34.3,경상남도 김해시 외동 1257-4번지 한마음빌딩 104호,"경상남도 김해시 내외중앙로 28, 104호 (외동, 한마음빌딩)",기타,34.3,영업/정상,,35.2323066700 ,128.8665773000 
대풍 한식 뷔페,055-321-6985,249.9,경상남도 김해시 주촌면 농소리 321-1번지,경상남도 김해시 주촌면 소망길 85,한식,249.9,영업/정상,,35.2161388300 ,128.8327724000 
누들보쌈배달만족 김해내외점,055-312-1919,54,경상남도 김해시 내동 1114-4,경상남도 김해시 우암로63번길 3-11 (내동),한식,54,영업/정상,,35.2359366800 ,128.8606393000 
기메스시,055-331-1911,52.77,경상남도 김해시 구산동 1051-2 탑스존 111호,"경상남도 김해시 삼계로 30, 111호 (구산동, 탑스존)",호프/통닭,52.77,영업/정상,,35.2570918100 ,128.8695448000 
소머리국밥,,60,경상남도 김해시 무계동 189-3번지 장유중앙전통시장내,"경상남도 김해시 장유로 287-22 (무계동, 장유중앙전통시장내)",한식,60,영업/정상,,35.2005677600 ,128.8148116000 
